MPN,Price,Producer,Name,EAN,Length(mm),Slots,8-Pin Connectors,6-Pin Connectors,HDMI,DisplayPort,DVI,VGA,Boost Clock(MHz),Vram(GB),Memory Clock(MHz),TDP(W)
GV-N3060GAMING OC-12GD 2.0,297.40,Gigabyte,Gigabyte GeForce RTX 3060 Gaming OC 12G LHR,4.72E+12,282,2,1,0,2,2,0,0,1837,12,15000,170
GV-N306TEAGLE-8GD,#N/D,Gigabyte,Gigabyte GeForce RTX 3060 Ti Eagle,4.72E+12,242,2,1,0,2,2,0,0,1665,8,14000,230
GV-N306TEAGLE-8GD 2.0,#N/D,Gigabyte,Gigabyte GeForce RTX 3060 Ti Eagle 8G LHR,4.72E+12,242,2,1,0,2,3,0,0,1665,8,14000,230
GV-N306TEAGLE OC-8GD,#N/D,Gigabyte,Gigabyte GeForce RTX 3060 Ti Eagle OC,4.72E+12,242,2,1,0,2,2,0,0,1759,8,14000,230
GV-N306TEAGLE OC-8GD 2.0,#N/D,Gigabyte,Gigabyte GeForce RTX 3060 Ti Eagle OC 8G LHR,4.72E+12,242,2,1,0,2,2,0,0,1695,8,14000,230
GV-N306TGAMING OC-8GD,#N/D,Gigabyte,Gigabyte GeForce RTX 3060 Ti Gaming OC,4.72E+12,282,2,1,0,2,2,0,0,1759,8,14000,230
GV-N306TGAMING OC-8GD 2.0,426.51,Gigabyte,Gigabyte GeForce RTX 3060 Ti Gaming OC 8G LHR,4.72E+12,282,2,1,0,2,2,0,0,1740,8,14000,230
GV-N306TGAMINGOC PRO-8GD,#N/D,Gigabyte,Gigabyte GeForce RTX 3060 Ti Gaming OC Pro,4.72E+12,286,2.5,1,1,2,2,0,0,1759,8,14000,230
GV-N306TGAMINGOC PRO-8GD 3.0,649.80,Gigabyte,Gigabyte GeForce RTX 3060 Ti Gaming OC Pro 8G LHR,4.72E+12,281,2,1,1,2,2,0,0,1770,8,14000,200
GV-N306TVISION OC-8GD 2.0,#N/D,Gigabyte,Gigabyte GeForce RTX 3060 Ti Vision OC 8G LHR,4.72E+12,281,2,1,1,2,2,0,0,1755,8,14000,230
GV-N3060VISION OC-12GD,#N/D,Gigabyte,Gigabyte GeForce RTX 3060 Vision OC,4.72E+12,280,2,1,0,2,2,0,0,1837,12,7500,170
GV-N3060VISION OC-12GD 2.0,355.43,Gigabyte,Gigabyte GeForce RTX 3060 Vision OC 12G LHR,4.72E+12,280,2,1,0,2,2,0,0,1837,12,15000,170
GV-N3070EAGLE-8GD 2.0,#N/D,Gigabyte,Gigabyte GeForce RTX 3070 Eagle 8G LHR,4.72E+12,282,2,1,1,2,2,0,0,1759,8,14000,220
GV-N3070EAGLE OC-8GD 2.0,#N/D,Gigabyte,Gigabyte GeForce RTX 3070 Eagle OC 8G LHR,4.72E+12,282,2,1,1,2,2,0,0,1770,8,14000,220
GV-N3070GAMING OC-8GD 2.0,#N/D,Gigabyte,Gigabyte GeForce RTX 3070 Gaming OC 8G LHR,4.72E+12,286,2.5,1,1,2,2,0,0,1759,8,14000,220
GV-N307TEAGLE OC-8GD,#N/D,Gigabyte,Gigabyte GeForce RTX 3070 Ti Eagle OC,4.72E+12,283,2.5,2,0,2,2,0,0,1800,8,19000,290
GV-N307TGAMING OC-8GD,#N/D,Gigabyte,Gigabyte GeForce RTX 3070 Ti Gaming OC,4.72E+12,324,2.75,2,0,2,2,0,0,1830,8,19000,290
GV-N307TAORUS M-8GD,1034.26,Gigabyte,Gigabyte GeForce RTX 3070 Ti Master,4.72E+12,324,3.5,2,1,3,3,0,0,1875,8,19000,290
GV-N307TVISION OC-8GD,#N/D,Gigabyte,Gigabyte GeForce RTX 3070 Ti Vision OC,4.72E+12,320,2.75,2,0,2,2,0,0,1830,8,19000,290
GV-N3070VISION OC-8GD 2.0,#N/D,Gigabyte,Gigabyte GeForce RTX 3070 Vision OC 8G LHR,4.72E+12,286,2.5,1,1,2,2,0,0,1759,8,14000,220
GV-N3080EAGLE-10GD 2.0,#N/D,Gigabyte,Gigabyte GeForce RTX 3080 Eagle 10G LHR,4.72E+12,320,2.7,2,0,2,3,0,0,1710,10,19000,320
GV-N3080EAGLE OC-10GD 2.0,#N/D,Gigabyte,Gigabyte GeForce RTX 3080 Eagle OC,4.72E+12,320,3,2,0,2,3,0,0,1759,10,19000,350
GV-N3080EAGLE OC-10GD,#N/D,Gigabyte,Gigabyte GeForce RTX 3080 Eagle OC 1,4.72E+12,320,,2,0,2,3,0,0,1755,10,19000,320
GV-N3080GAMING OC-10GD,#N/D,Gigabyte,Gigabyte GeForce RTX 3080 Gaming OC 1,4.72E+12,320,,2,0,2,3,0,0,1800,10,19000,320
GV-N3080GAMING OC-10GD 2.0,#N/D,Gigabyte,Gigabyte GeForce RTX 3080 Gaming OC 10G LHR,4.72E+12,320,2.5,2,0,2,3,0,0,1800,10,19000,320
GV-N3080GAMINGOC WB-10GD 2.0,#N/D,Gigabyte,Gigabyte GeForce RTX 3080 Gaming OC Waterforce WB 10G LHR,4.72E+12,310,2,2,0,2,3,0,0,1800,10,19000,320
GV-N308TEAGLE OC-12GD,1305.67,Gigabyte,Gigabyte GeForce RTX 3080 Ti Eagle OC 12G LHR,4.72E+12,320,2.7,2,0,2,3,0,0,1680,12,19000,320
GV-N308TGAMING OC-12GD,#N/D,Gigabyte,Gigabyte GeForce RTX 3080 Ti Gaming OC,4.72E+12,320,2.7,2,0,2,3,0,0,1710,12,19000,350
GV-N308TVISION OC-12GD,#N/D,Gigabyte,Gigabyte GeForce RTX 3080 Ti Vision OC,4.72E+12,320,2.7,2,0,2,3,0,0,1710,12,19000,350
GV-N3080VISION OC-10GD 2,#N/D,Gigabyte,Gigabyte GeForce RTX 3080 Vision OC 10G LHR,4.72E+12,320,2.5,2,0,2,3,0,0,1800,10,19000,320
GV-N3090GAMING OC-24GD,#N/D,Gigabyte,Gigabyte GeForce RTX 3090 Gaming OC,4.72E+12,320,2.75,2,0,2,3,0,0,1755,24,19500,350
GV-N309TGAMING-24GD,#N/D,Gigabyte,Gigabyte GeForce RTX 3090 Ti Gaming,4.72E+12,331,3.5,0,0,1,3,0,0,1860,24,14000,450
GV-N309TGAMING OC-24GD,1718.23,Gigabyte,Gigabyte GeForce RTX 3090 Ti Gaming OC,4.72E+12,331,3.5,0,0,1,3,0,0,1905,24,14000,450
GV-N406TAERO OC-8GD,#N/D,Gigabyte,GIGABYTE GeForce RTX 4060 Ti Aero OC,4.72E+12,281,2.5,1,0,2,2,0,0,2580,8,18000,160
GV-N406TEAGLE-8GD,398.22,Gigabyte,GIGABYTE GeForce RTX 4060 Ti Eagle,4.72E+12,272,2,1,0,2,2,0,0,2535,8,18000,160
GV-N406TEAGLE OC-8GD,#N/D,Gigabyte,GIGABYTE GeForce RTX 4060 Ti Eagle OC,4.72E+12,272,2,1,0,2,2,0,0,2550,8,18000,160
GV-N406TGAMING OC-8GD,435.22,Gigabyte,GIGABYTE GeForce RTX 4060 Ti Gaming OC,4.72E+12,281,2,1,0,2,2,0,0,2535,8,18000,160
GV-N4070AERO OC-12GD,#N/D,Gigabyte,GIGABYTE GeForce RTX 4070 Aero OC,4.72E+12,300,3,0,0,1,3,0,0,1759,12,21000,200
GV-N4070EAGLE OC-12GD,#N/D,Gigabyte,GIGABYTE GeForce RTX 4070 Eagle OC,4.72E+12,261,2.5,1,0,1,3,0,0,2505,12,21000,200
GV-N4070GAMING OC-12GD 1.0,629.62,Gigabyte,GIGABYTE GeForce RTX 4070 Gaming OC,4.72E+12,300,3,0,0,1,3,0,0,2565,12,21000,200
GV-N407TAERO OC-12GD,#N/D,Gigabyte,GIGABYTE GeForce RTX 4070 Ti Aero OC,4.72E+12,336,3,0,0,1,3,0,0,2640,12,21000,750
GV-N407TEAGLE-12GD,#N/D,Gigabyte,GIGABYTE GeForce RTX 4070 Ti Eagle,4.72E+12,301,3,0,0,1,3,0,0,2610,12,21000,285
GV-N407TEAGLE OC-12GD 2.0,#N/D,Gigabyte,GIGABYTE GeForce RTX 4070 Ti Eagle OC,4.72E+12,261,3,0,0,1,3,0,0,2625,12,21000,285
GV-N407TGAMING OC-12GD,#N/D,Gigabyte,GIGABYTE GeForce RTX 4070 Ti Gaming OC,4.72E+12,336,3,0,0,1,3,0,0,2640,12,21000,750
GV-N4070WF3OC-12GD 1.0,#N/D,Gigabyte,GIGABYTE GeForce RTX 4070 WindForce 3X OC,4.72E+12,261,2.5,1,0,1,3,0,0,2490,12,21000,200
GV-N4080AERO OC-16GD,#N/D,Gigabyte,GIGABYTE GeForce RTX 4080 Aero OC,4.72E+12,342,3.5,0,0,1,3,0,0,2535,16,22400,320
GV-N4080EAGLE-16GD,#N/D,Gigabyte,GIGABYTE GeForce RTX 4080 Eagle,4.72E+12,342,3,0,0,1,3,0,0,2505,16,22400,320
GV-N4080EAGLE OC-16GD,1160.59,Gigabyte,GIGABYTE GeForce RTX 4080 Eagle OC,4.72E+12,342,3,0,0,1,3,0,0,2520,16,22400,320
GV-N4080GAMING OC-16GD,#N/D,Gigabyte,GIGABYTE GeForce RTX 4080 Gaming OC,4.72E+12,342,3.5,0,0,1,3,0,0,2535,16,22400,320
GV-R65XTEAGLE-4GD,216.87,Gigabyte,Gigabyte Radeon RX 6500 XT Eagle,4.72E+12,192,2,0,1,1,1,0,0,2815,4,14000,107
GV-R65XTGAMING OC-4GD,#N/D,Gigabyte,Gigabyte Radeon RX 6500 XT Gaming OC,4.72E+12,282,2,0,1,1,1,0,0,2825,4,14000,107
GV-R66EAGLE-8GD,#N/D,Gigabyte,Gigabyte Radeon RX 6600 Eagle,4.72E+12,282,2,1,0,2,2,0,0,2491,8,14000,132
GV-R66XTEAGLE-8GD,#N/D,Gigabyte,Gigabyte Radeon RX 6600 XT Eagle,4.72E+12,282,2,1,0,2,2,0,0,1759,8,16000,160
GV-R66XTGAMING OC-8GD,#N/D,Gigabyte,Gigabyte Radeon RX 6600 XT Gaming OC,4.72E+12,282,3,1,0,2,2,0,0,1759,8,16000,160
GV-R66XTGAMINGOC PRO-8GD,#N/D,Gigabyte,Gigabyte Radeon RX 6600 XT Gaming Pro OC,4.72E+12,282,3,1,0,2,2,0,0,1759,8,16000,160
GV-R665XTEAGLE-8GD,#N/D,Gigabyte,Gigabyte Radeon RX 6650 XT Eagle,4.72E+12,282,2,1,0,3,1,0,0,2635,8,14000,180
GV-R665XTGAMING OC-8GD,#N/D,Gigabyte,Gigabyte Radeon RX 6650 XT Gaming OC,4.72E+12,282,2.5,1,0,3,1,0,0,2593,8,14000,180
GV-R67XT-12GD-B,#N/D,Gigabyte,Gigabyte Radeon RX 6700 XT,4.72E+12,267,2,1,1,1,3,0,0,2581,12,8000,260
GV-R67XTEAGLE-12GD,454.30,Gigabyte,Gigabyte Radeon RX 6700 XT Eagle,4.72E+12,282,2,1,1,2,2,0,0,2581,12,8000,230
GV-R67XTEAGLE OC-12GD,#N/D,Gigabyte,Gigabyte Radeon RX 6700 XT Eagle OC,4.72E+12,282,2,1,1,2,2,0,0,2581,12,14000,230
GV-R67XTGAMING OC-12GD,948.74,Gigabyte,Gigabyte Radeon RX 6700 XT Gaming OC,4.72E+12,281,2.5,1,1,2,2,0,0,2622,12,8000,230
GV-R675XTGAMING OC-12GD,#N/D,Gigabyte,Gigabyte Radeon RX 6750 XT Gaming OC,4.72E+12,281,2.5,1,1,2,2,0,0,1759,12,14000,250
GV-R68GAMING OC-16GD,#N/D,Gigabyte,Gigabyte Radeon RX 6800 Gaming OC,4.72E+12,286,3,2,0,2,2,0,0,2155,16,14000,250
GV-R68XTGAMING OC-16GD,870.44,Gigabyte,Gigabyte Radeon RX 6800 XT Gaming OC,4.72E+12,286,3,2,0,2,2,0,0,2285,16,14000,300
GV-R69XT-16GC-B,#N/D,Gigabyte,Gigabyte Radeon RX 6900 XT,4.72E+12,267,2.5,2,0,1,3,0,0,2250,16,14000,300
GV-R69XTGAMING OC-16GD,#N/D,Gigabyte,Gigabyte Radeon RX 6900 XT Gaming OC,4.72E+12,286,3,3,0,2,2,0,0,2285,16,14000,300
GV-R69XTAORUS M-16GD 2.0,#N/D,Gigabyte,Gigabyte Radeon RX 6900 XT Master,4.72E+12,322,3,3,0,2,2,0,0,2335,16,14000,300
GV-R695XTGAMING OC-16GD,#N/D,Gigabyte,Gigabyte Radeon RX 6950 XT GAMING OC,4.72E+12,332,2.9,3,0,2,2,0,0,1759,16,14000,335
GV-R76GAMING OC-8GD,#N/D,Gigabyte,GIGABYTE Radeon RX 7600 Gaming OC,4.72E+12,282,2,1,0,2,2,0,0,1759,8,18000,165
GV-R77XTGAMING OC-12GD,#N/D,Gigabyte,GIGABYTE Radeon RX 7700 XT Gaming OC,4.72E+12,302,2.5,2,0,2,2,0,0,2599,12,18000,245
GV-R78XTGAMING OC-16GD,#N/D,Gigabyte,GIGABYTE Radeon RX 7800 XT Gaming OC,4.72E+12,302,2.5,2,0,2,2,0,0,2565,16,19500,263
GV-N3070EAGLE-8GD,#N/D,Gigabyte,Gigabyte RTX 3070 Eagle,4.72E+12,282,2,1,1,2,2,0,0,1725,8,14000,220
GV-N3070EAGLE OC-8GD,#N/D,Gigabyte,Gigabyte RTX 3070 Eagle OC,4.72E+12,282,2,1,1,2,2,0,0,1770,8,14000,220
GV-N3070GAMING OC-8GD,#N/D,Gigabyte,Gigabyte RTX 3070 Gaming OC,4.72E+12,286,2.5,1,1,2,2,0,0,1815,8,14000,220
GV-N3070VISION OC-8GD,#N/D,Gigabyte,Gigabyte RTX 3070 Vision OC,4.72E+12,286,2.5,1,1,2,2,0,0,1815,8,14000,220
N30502-08D6X-11902120,#N/D,INNO3D,INNO3D GeForce RTX 3050 Gaming OC X2,4.90E+12,240,2,1,0,1,3,0,0,1830,8,4,130
N30502-08D6-1190VA42,#N/D,INNO3D,INNO3D GeForce RTX 3050 Twin X2,8.35E+11,240,2,1,0,1,3,0,0,1777,8,4,130
N30502-08D6X-11902130,#N/D,INNO3D,INNO3D GeForce RTX 3050 Twin X2 OC,8.35E+11,240,2,1,0,1,3,0,0,1822,8,4,130
C30603-12D6X-1671VA39A,#N/D,INNO3D,INNO3D GeForce RTX 3060 iChill X3,8.35E+11,300,3,1,0,1,3,0,0,1837,12,7500,170
C30603-12D6X-167139AH,#N/D,INNO3D,INNO3D GeForce RTX 3060 iChill X3 Red LHR,4.90E+12,300,3,1,0,1,3,0,0,1725,12,15000,170
C306T3-08D6X-1671VA39H,#N/D,INNO3D,INNO3D GeForce RTX 3060 Ti iChill X3 Red LHR,4.90E+12,300,3,1,0,1,3,0,0,1725,8,14000,220
N306T2-08D6-119032DH,#N/D,INNO3D,INNO3D GeForce RTX 3060 Ti Twin X2 LHR,4.90E+12,240,2,1,0,1,3,0,0,1665,8,14000,200
N306T2-08D6X-119032DH,#N/D,INNO3D,INNO3D GeForce RTX 3060 Ti Twin X2 OC LHR,4.90E+12,240,2,1,0,1,3,0,0,1680,8,14000,200
N30602-12D6X-11902120,#N/D,INNO3D,INNO3D GeForce RTX 3060 Twin X2 OC,8.35E+11,240,2,1,0,1,3,0,0,1792,12,7500,200
N30602-12D6X-11902120H,#N/D,INNO3D,INNO3D GeForce RTX 3060 Twin X2 OC LHR,4.90E+12,240,2,1,0,1,3,0,0,1792,12,15000,200
C30703-08D6X-1710VA38H,#N/D,INNO3D,INNO3D GeForce RTX 3070 iChill X3 LHR,4.90E+12,300,3,2,0,1,3,0,0,1785,8,14000,220
C30704-08D6X-1710VA35H,#N/D,INNO3D,INNO3D GeForce RTX 3070 iChill X4 LHR,4.90E+12,300,3,2,0,1,3,0,0,1785,8,14000,240
C307T3-086XX-1820VA38,#N/D,INNO3D,INNO3D GeForce RTX 3070 Ti iChill X3,8.35E+11,300,3,2,0,1,3,0,0,1830,8,19000,290
N307T3-086XX-1820VA45,#N/D,INNO3D,INNO3D GeForce RTX 3070 Ti iChill X3 OC,8.35E+11,300,2,2,0,1,3,0,0,1785,8,19000,290
C307T4-086XX-1820VA35,#N/D,INNO3D,INNO3D GeForce RTX 3070 Ti iChill X4,8.35E+11,300,3,2,0,1,3,0,0,1830,8,19000,320
N30702-08D6X-171032LH,#N/D,INNO3D,INNO3D GeForce RTX 3070 Twin X2 OC LHR,4.90E+12,240,2,2,0,1,3,0,0,1740,8,14000,220
C3080-106XX-1810FBH,#N/D,INNO3D,INNO3D GeForce RTX 3080 iChill Frostbite LHR,4.90E+12,226,2,2,0,1,3,0,0,1770,10,19000,340
C30803-106XX-1810VA37H,#N/D,INNO3D,INNO3D GeForce RTX 3080 iChill X3 LHR,8.35E+11,300,3,2,0,1,3,0,0,1725,10,19000,340
C30804-106XX-1810VA36H,#N/D,INNO3D,INNO3D GeForce RTX 3080 iChill X4 LHR,4.90E+12,300,3,2,0,1,3,0,0,1725,10,19000,340
C308TB-126XX-1810003,#N/D,INNO3D,INNO3D GeForce RTX 3080 Ti iChill Black LHR,8.35E+11,226,3,2,0,1,3,0,0,1710,12,19000,350
C308T3-126XX-1810VA37,#N/D,INNO3D,INNO3D GeForce RTX 3080 Ti iChill X3 LHR,8.35E+11,300,3,2,0,1,3,0,0,1710,12,19000,320
N308T3-126X-1810VA44,#N/D,INNO3D,INNO3D GeForce RTX 3080 Ti X3 LHR,8.35E+11,300,3,2,0,1,3,0,0,1665,10,19000,320
N308T3-126XX-1810VA44,#N/D,INNO3D,INNO3D GeForce RTX 3080 Ti X3 OC LHR,8.35E+11,300,3,2,0,1,3,0,0,1680,12,19000,320
N30802-106XX-1810VA34H,#N/D,INNO3D,INNO3D GeForce RTX 3080 Twin X2 OC LHR,4.90E+12,274,3,2,0,1,3,0,0,1725,10,19000,320
N30803-106X-1810VA44H,#N/D,INNO3D,INNO3D GeForce RTX 3080 X3 LHR,4.90E+12,300,2,2,0,1,3,0,0,1759,10,19000,750
N30803-106XX-1810VA44H,#N/D,INNO3D,INNO3D GeForce RTX 3080 X3 OC LHR,8.35E+11,300,3,2,0,1,3,0,0,1725,10,19000,340
N30903-246X-1880VA37N,#N/D,INNO3D,INNO3D GeForce RTX 3090 Gaming X3,8.35E+11,300,3,2,0,1,3,0,0,1695,24,19500,350
C3090-246XX-1880FB,#N/D,INNO3D,INNO3D GeForce RTX 3090 iChill Frostbite,4.90E+12,226,2,2,0,1,3,0,0,1755,24,19500,370
C30903-246XX-1880VA37,#N/D,INNO3D,INNO3D GeForce RTX 3090 iChill X3,4.90E+12,300,3,2,0,1,3,0,0,1755,24,19500,370
C30904-246XX-1880VA36,#N/D,INNO3D,INNO3D GeForce RTX 3090 iChill X4,8.35E+11,300,3,2,0,1,3,0,0,1755,24,19500,370
N309T3-246XX-1890VA46,#N/D,INNO3D,INNO3D GeForce RTX 3090 Ti X3 OC,8.35E+11,330,3,0,0,1,3,0,0,1890,24,14000,450
N30903-246X-1880VA44,#N/D,INNO3D,INNO3D GeForce RTX 3090 X3,4.90E+12,300,2,3,0,1,3,0,0,1695,24,19500,350
C406T3-08D6X-17113389,#N/D,INNO3D,INNO3D GeForce RTX 4060 Ti iChill X3,8.35E+11,294,3,1,0,1,3,0,0,2595,8,18000,160
C406T3-08D6X-17113280,#N/D,INNO3D,INNO3D GeForce RTX 4060 Ti iChill X3 White,8.35E+11,294,3,1,0,1,3,0,0,2595,8,18000,160
N406T2-08D6-171153N,#N/D,INNO3D,INNO3D GeForce RTX 4060 Ti Twin X2,4.90E+12,250,2,1,0,1,3,0,0,2535,8,18000,160
N406T2-08D6X-171153N,#N/D,INNO3D,INNO3D GeForce RTX 4060 Ti Twin X2 OC,4.90E+12,250,2,1,0,1,3,0,0,2565,8,18000,160
N406T2-08D6X-171153W,#N/D,INNO3D,INNO3D GeForce RTX 4060 Ti Twin X2 White OC,4.90E+12,250,2,1,0,1,3,0,0,2565,8,18000,160
N406T3-08D6X-171153L,#N/D,INNO3D,INNO3D GeForce RTX 4060 Ti X3 OC,8.35E+11,297,2,1,0,1,3,0,0,2565,8,18000,160
C40703-126XX-186148H,#N/D,INNO3D,INNO3D GeForce RTX 4070 iChill X3,8.35E+11,297,3,0,0,1,3,0,0,2535,12,21000,220
C407T3-126XX-186148H,#N/D,INNO3D,INNO3D GeForce RTX 4070 Ti iChill X3,4.90E+12,334,3,0,0,1,3,0,0,2670,12,21000,750
N407T3-126X-186148N,#N/D,INNO3D,INNO3D GeForce RTX 4070 Ti X3,4.90E+12,297,2,0,0,1,3,0,0,2610,12,21000,700
N407T3-126XX-186148N,#N/D,INNO3D,INNO3D GeForce RTX 4070 Ti X3 OC,4.90E+12,297,2,0,0,1,3,0,0,2640,12,21000,700
N40702-126X-185252N,#N/D,INNO3D,INNO3D GeForce RTX 4070 Twin X2,8.35E+11,250,2,1,0,1,3,0,0,2475,12,21000,200
N40702-126XX-185252N,#N/D,INNO3D,INNO3D GeForce RTX 4070 Twin X2 OC,8.35E+11,250,2,1,0,1,3,0,0,2505,12,21000,200
N40702-126XX-185252W,#N/D,INNO3D,INNO3D GeForce RTX 4070 Twin X2 OC White,8.35E+11,250,2,1,0,1,3,0,0,2505,12,21000,200
N40703-126XX-185252L,#N/D,INNO3D,INNO3D GeForce RTX 4070 X3 OC,8.35E+11,297,2,1,0,1,3,0,0,2505,12,21000,200
C4080B-166XX-18700006,#N/D,INNO3D,INNO3D GeForce RTX 4080 iChill Black,8.35E+11,280,2,0,0,1,3,0,0,2565,16,22400,320
C4080-166XX-1870FB,#N/D,INNO3D,INNO3D GeForce RTX 4080 iChill Frostbite,8.35E+11,200,2,0,0,1,3,0,0,2565,16,22400,320
C40803-166XX-187049H,#N/D,INNO3D,INNO3D GeForce RTX 4080 iChill X3,8.35E+11,334,3,0,0,1,3,0,0,2565,16,22400,320
N40803-166X-187049N,#N/D,INNO3D,INNO3D GeForce RTX 4080 X3,8.35E+11,328,3,0,0,1,3,0,0,2505,16,22400,750
C4090-246X-1833FBP,#N/D,INNO3D,INNO3D GeForce RTX 4090 iChill Frostbite Pro,8.35E+11,203,1,0,0,1,3,0,0,2520,24,21000,500
C4090-246XX-1833FBU,#N/D,INNO3D,INNO3D GeForce RTX 4090 iChill Frostbite Ultra,8.35E+11,223,1.5,0,0,1,3,0,0,2595,24,21000,500
N40903-246XX-18333259,#N/D,INNO3D,INNO3D GeForce RTX 4090 X3 OC White,8.35E+11,336,3,0,0,1,3,0,0,2520,24,21000,450
C30703-08D6X-1710VA38,#N/D,INNO3D,INNO3D RTX 3070 iChill X3,8.35E+11,300,3,2,0,1,3,0,0,1785,8,14000,220
C30704-08D6X-1710VA35,#N/D,INNO3D,INNO3D RTX 3070 iChill X4,8.35E+11,300,3,2,0,1,3,0,0,1785,8,14000,220
21P02J00BA,#N/D,Intel,Intel Arc A750 Limited Edition,5.03E+12,267,2,1,1,1,3,0,0,2050,8,2000,225
21P01J00BA,#N/D,Intel,Intel Arc A770 Limited Edition,5.03E+12,267,2,1,1,1,3,0,0,2100,16,2187,225
V809-4045R,#N/D,MSI,MSI GeForce RTX 3050 Aero ITX,4.72E+12,172,2,1,0,1,3,0,0,1759,8,4,130
V809-4041R,232.20,MSI,MSI GeForce RTX 3050 Aero ITX 8G OC,4.72E+12,172,2,1,0,1,3,0,0,1845,8,4,130
V397-421R,250.47,MSI,MSI GeForce RTX 3050 Gaming X,4.72E+12,278,2.5,1,0,1,3,0,0,1759,8,4,130
V397-435R,#N/D,MSI,MSI GeForce RTX 3050 Ventus 2X,4.72E+12,235,2,1,0,1,3,0,0,1759,8,4,130
V397-418R,216.87,MSI,MSI GeForce RTX 3050 Ventus 2X 8G OC,4.72E+12,235,2,1,0,1,3,0,0,1759,8,4,130
V397-019R,380.81,MSI,MSI GeForce RTX 3060 Gaming X,4.72E+12,276,2.5,1,1,1,3,0,0,1837,12,7500,170
V390-081R,#N/D,MSI,MSI GeForce RTX 3060 Gaming X Trio,4.72E+12,323,2.75,2,0,1,3,0,0,1875,12,7500,170
V390-245R,#N/D,MSI,MSI GeForce RTX 3060 Gaming Z Trio 12G LHR,4.72E+12,324,2.75,2,0,1,3,0,0,1867,12,15000,170
V397-231R,507.76,MSI,MSI GeForce RTX 3060 Ti Gaming X 8G LHR,4.72E+12,278,2.5,1,1,1,3,0,0,1770,8,14000,220
V390-010R,#N/D,MSI,MSI GeForce RTX 3060 Ti Gaming X Trio,4.72E+12,323,2.5,2,0,1,3,0,0,1830,8,14000,240
V390-290R,#N/D,MSI,MSI GeForce RTX 3060 Ti Gaming Z Trio 8G LHR,4.72E+12,323,2.5,2,0,1,3,0,0,1845,8,14000,240
V397-232R,456.98,MSI,MSI GeForce RTX 3060 Ti Ventus 2X 8G OCV1 LHR,4.72E+12,235,2,2,0,1,3,0,0,1695,8,14000,200
V390-009R,#N/D,MSI,MSI GeForce RTX 3060 Ti Ventus 2X OC,4.72E+12,232,2.5,2,0,1,3,0,0,1695,8,14000,200
V397-239R,#N/D,MSI,MSI GeForce RTX 3060 Ti Ventus 3X 8G OC LHR,4.72E+12,316,2,1,0,1,3,0,0,1695,8,14000,200
V397-001R,#N/D,MSI,MSI GeForce RTX 3060 Ti Ventus 3X OC,4.72E+12,316,2,1,0,1,3,0,0,1695,8,14000,200
V397-022R,290.14,MSI,MSI GeForce RTX 3060 Ventus 2X,4.72E+12,235,2,1,0,1,3,0,0,1807,12,7500,170
V397-031R,290.14,MSI,MSI GeForce RTX 3060 Ventus 3X OC,4.72E+12,316,2,1,0,1,3,0,0,1807,12,7500,170
V390-403R,#N/D,MSI,MSI GeForce RTX 3070 Gaming Trio Plus 8G LHR,4.72E+12,323,3,2,0,1,3,0,0,1770,8,14000,220
V390-264R,680.69,MSI,MSI GeForce RTX 3070 Gaming Z Trio 8G LHR,4.72E+12,323,2.7,2,0,1,3,0,0,1759,8,14000,240
V390-263R,#N/D,MSI,MSI GeForce RTX 3070 Suprim X 8G LHR,4.72E+12,335,3,2,0,1,3,0,0,1905,8,14000,280
V505-009R,716.38,MSI,MSI GeForce RTX 3070 Ti Gaming X Trio,4.72E+12,323,2.75,2,0,1,3,0,0,1830,8,19000,310
V505-008R,#N/D,MSI,MSI GeForce RTX 3070 Ti Suprim X,4.72E+12,335,3,2,0,1,3,0,0,1875,8,19000,310
V505-024R,#N/D,MSI,MSI GeForce RTX 3070 Ti Ventus 3X 8G LHR,4.72E+12,323,2.75,2,0,1,3,0,0,1800,8,19000,310
V505-007R,660.08,MSI,MSI GeForce RTX 3070 Ti Ventus 3X 8G OC LHR,4.72E+12,316,2.75,2,0,1,3,0,0,1800,8,19000,290
V390-280R,#N/D,MSI,MSI GeForce RTX 3070 Ventus 2X 8G OC LHR,4.72E+12,232,2.5,2,0,1,3,0,0,1759,8,14000,220
V390-273R,#N/D,MSI,MSI GeForce RTX 3070 Ventus 3X 8G OC LHR,4.72E+12,305,2.5,2,0,1,3,0,0,1759,8,14000,220
V390-457R,565.79,MSI,MSI GeForce RTX 3070 Ventus 3X Plus 8G OC LHR,4.72E+12,305,2.5,2,0,1,3,0,0,1759,8,14000,220
V389-005R,#N/D,MSI,MSI GeForce RTX 3080 Gaming X Trio 1,4.72E+12,323,2.75,3,0,1,3,0,0,1815,10,19000,320
V389-203R,761.64,MSI,MSI GeForce RTX 3080 Gaming Z Trio 10G LHR,4.72E+12,323,2.75,3,0,1,3,0,0,1830,10,19000,370
V389-215R,#N/D,MSI,MSI GeForce RTX 3080 Suprim X 10G LHR,4.72E+12,336,3,3,0,1,3,0,0,1905,10,19000,370
V389-058R,1301.48,MSI,MSI GeForce RTX 3080 Ti Gaming X Trio,4.72E+12,324,2.75,3,0,1,3,0,0,1770,12,19000,350
V389-057R,#N/D,MSI,MSI GeForce RTX 3080 Ti Suprim X,4.72E+12,336,3,3,0,1,3,0,0,1845,12,19000,350
